
 -5.910000	-1.330273 

 -5.562353	-1.249180 

 -5.214706	-1.168469 

 -4.867059	-1.088134 

 -4.519412	-1.008171 

 -4.171765	-0.928573 

 -3.824118	-0.849334 

 -3.476471	-0.770449 

 -3.128824	-0.691914 

 -2.781176	-0.613722 

 -2.433529	-0.535869 

 -2.085882	-0.458351 

 -1.738235	-0.381163 

 -1.390588	-0.304298 

 -1.042941	-0.227755 

 -0.695294	-0.151526 

 -0.347647	-0.075609 

 0.000000	0.013301 

 0.347647	0.075307 

 0.695294	0.150315 

 1.042941	0.225026 

 1.390588	0.299448 

 1.738235	0.373580 

 2.085882	0.447430 

 2.433529	0.520999 

 2.781176	0.594291 

 3.128824	0.667311 

 3.476471	0.740060 

 3.824118	0.812541 

 4.171765	0.884761 

 4.519412	0.956720 

 4.867059	1.028422 

 5.214706	1.099869 

 5.562353	1.171065 

 5.910000	1.242014 
